Namespace(exp_name='exp_rpmnet', dataset_path='ModelNet40', eval=False, dataset_type='modelnet', num_points=1024, fine_tune_pointnet='tune', transfer_ptnet_weights='./checkpoints/exp_classifier/models/best_ptnet_model.t7', emb_dims=1024, symfn='max', seed=1234, workers=4, batch_size=8, epochs=200, start_epoch=0, optimizer='Adam', resume='', pretrained='', device='cuda:0')
EPOCH:: 41, Traininig Loss: 0.000512, Testing Loss: 0.003688, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 42, Traininig Loss: 0.000642, Testing Loss: 0.001949, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 43, Traininig Loss: 0.000101, Testing Loss: 0.001980, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 44, Traininig Loss: 0.000058, Testing Loss: 0.001936, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 45, Traininig Loss: 0.000048, Testing Loss: 0.001931, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 46, Traininig Loss: 0.000041, Testing Loss: 0.001887, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 47, Traininig Loss: 0.000037, Testing Loss: 0.001889, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 48, Traininig Loss: 0.000176, Testing Loss: 0.001607, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 49, Traininig Loss: 0.000048, Testing Loss: 0.001728, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 50, Traininig Loss: 0.000027, Testing Loss: 0.002124, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 51, Traininig Loss: 0.000067, Testing Loss: 0.001494, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 52, Traininig Loss: 0.000054, Testing Loss: 0.002190, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 53, Traininig Loss: 0.000031, Testing Loss: 0.001649, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 54, Traininig Loss: 0.000019, Testing Loss: 0.001863, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 55, Traininig Loss: 0.000023, Testing Loss: 0.001578, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 56, Traininig Loss: 0.000027, Testing Loss: 0.001613, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 57, Traininig Loss: 0.000699, Testing Loss: 0.001741, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 58, Traininig Loss: 0.000093, Testing Loss: 0.001774, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 59, Traininig Loss: 0.000049, Testing Loss: 0.001505, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 60, Traininig Loss: 0.000038, Testing Loss: 0.001973, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 61, Traininig Loss: 0.000029, Testing Loss: 0.001625, Best Loss: 0.001452, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 62, Traininig Loss: 0.000027, Testing Loss: 0.001405, Best Loss: 0.001405, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 63, Traininig Loss: 0.000025, Testing Loss: 0.001906, Best Loss: 0.001405, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 64, Traininig Loss: 0.000311, Testing Loss: 0.001231, Best Loss: 0.001231, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 65, Traininig Loss: 0.000052, Testing Loss: 0.001389, Best Loss: 0.001231, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 66, Traininig Loss: 0.000032, Testing Loss: 0.001137, Best Loss: 0.001137, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 67, Traininig Loss: 0.000019, Testing Loss: 0.001291, Best Loss: 0.001137, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 68, Traininig Loss: 0.000019, Testing Loss: 0.001372, Best Loss: 0.001137, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 69, Traininig Loss: 0.000042, Testing Loss: 0.001352, Best Loss: 0.001137, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 70, Traininig Loss: 0.000051, Testing Loss: 0.001051, Best Loss: 0.001051, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 71, Traininig Loss: 0.000030, Testing Loss: 0.001311, Best Loss: 0.001051, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 72, Traininig Loss: 0.000020, Testing Loss: 0.001278, Best Loss: 0.001051, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 73, Traininig Loss: 0.000017, Testing Loss: 0.001508, Best Loss: 0.001051, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 74, Traininig Loss: 0.000528, Testing Loss: 0.001431, Best Loss: 0.001051, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 75, Traininig Loss: 0.000187, Testing Loss: 0.001136, Best Loss: 0.001051, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 76, Traininig Loss: 0.000036, Testing Loss: 0.001009, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 77, Traininig Loss: 0.000023, Testing Loss: 0.001257, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 78, Traininig Loss: 0.000018, Testing Loss: 0.001198, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 79, Traininig Loss: 0.000016, Testing Loss: 0.001177, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 80, Traininig Loss: 0.000016, Testing Loss: 0.001292, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 81, Traininig Loss: 0.000013, Testing Loss: 0.001202, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 82, Traininig Loss: 0.000018, Testing Loss: 0.001343, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 83, Traininig Loss: 0.000030, Testing Loss: 0.001354, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 84, Traininig Loss: 0.000013, Testing Loss: 0.001241, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 85, Traininig Loss: 0.000083, Testing Loss: 0.002135, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 86, Traininig Loss: 0.000025, Testing Loss: 0.001437, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 87, Traininig Loss: 0.000013, Testing Loss: 0.001273, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 88, Traininig Loss: 0.000008, Testing Loss: 0.001214, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 89, Traininig Loss: 0.000009, Testing Loss: 0.001175, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 90, Traininig Loss: 0.000266, Testing Loss: 0.008499, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 91, Traininig Loss: 0.001118, Testing Loss: 0.002052, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 92, Traininig Loss: 0.000301, Testing Loss: 0.002407, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 93, Traininig Loss: 0.000139, Testing Loss: 0.002320, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 94, Traininig Loss: 0.000097, Testing Loss: 0.002458, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 95, Traininig Loss: 0.000079, Testing Loss: 0.002530, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 96, Traininig Loss: 0.000062, Testing Loss: 0.002330, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 97, Traininig Loss: 0.000055, Testing Loss: 0.002108, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 98, Traininig Loss: 0.000045, Testing Loss: 0.001813, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 99, Traininig Loss: 0.000033, Testing Loss: 0.001694, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 100, Traininig Loss: 0.000030, Testing Loss: 0.001145, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 101, Traininig Loss: 0.000041, Testing Loss: 0.001343, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 102, Traininig Loss: 0.000049, Testing Loss: 0.001453, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 103, Traininig Loss: 0.000020, Testing Loss: 0.001141, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 104, Traininig Loss: 0.000018, Testing Loss: 0.001322, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 105, Traininig Loss: 0.000023, Testing Loss: 0.001039, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 106, Traininig Loss: 0.000017, Testing Loss: 0.001232, Best Loss: 0.001009, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 107, Traininig Loss: 0.000056, Testing Loss: 0.000969, Best Loss: 0.000969, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 108, Traininig Loss: 0.000011, Testing Loss: 0.000891, Best Loss: 0.000891, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 109, Traininig Loss: 0.000008, Testing Loss: 0.000738, Best Loss: 0.000738, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 110, Traininig Loss: 0.000191, Testing Loss: 0.001184, Best Loss: 0.000738, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 111, Traininig Loss: 0.000026, Testing Loss: 0.001010, Best Loss: 0.000738, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 112, Traininig Loss: 0.000014, Testing Loss: 0.000778, Best Loss: 0.000738, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 113, Traininig Loss: 0.000010, Testing Loss: 0.000683, Best Loss: 0.000683, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 114, Traininig Loss: 0.000008, Testing Loss: 0.000616, Best Loss: 0.000616, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 115, Traininig Loss: 0.000035, Testing Loss: 0.000392, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 116, Traininig Loss: 0.000009, Testing Loss: 0.000671, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 117, Traininig Loss: 0.000005, Testing Loss: 0.000556, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 118, Traininig Loss: 0.000004, Testing Loss: 0.000700, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 119, Traininig Loss: 0.002652, Testing Loss: 0.003251, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 120, Traininig Loss: 0.002021, Testing Loss: 0.003127, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 121, Traininig Loss: 0.000411, Testing Loss: 0.004606, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 122, Traininig Loss: 0.000207, Testing Loss: 0.004141, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 123, Traininig Loss: 0.000139, Testing Loss: 0.003479, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 124, Traininig Loss: 0.000128, Testing Loss: 0.002809, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 125, Traininig Loss: 0.000093, Testing Loss: 0.002850, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 126, Traininig Loss: 0.000064, Testing Loss: 0.002738, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 127, Traininig Loss: 0.000062, Testing Loss: 0.002233, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 128, Traininig Loss: 0.000061, Testing Loss: 0.003143, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 129, Traininig Loss: 0.000038, Testing Loss: 0.003140, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 130, Traininig Loss: 0.000091, Testing Loss: 0.002892, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 131, Traininig Loss: 0.000032, Testing Loss: 0.003366, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 132, Traininig Loss: 0.000022, Testing Loss: 0.003915, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 133, Traininig Loss: 0.000036, Testing Loss: 0.003664, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 134, Traininig Loss: 0.000020, Testing Loss: 0.004606, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 135, Traininig Loss: 0.000022, Testing Loss: 0.003819, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 136, Traininig Loss: 0.000016, Testing Loss: 0.005807, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 137, Traininig Loss: 0.000384, Testing Loss: 0.002028, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 138, Traininig Loss: 0.000365, Testing Loss: 0.002338, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 139, Traininig Loss: 0.000051, Testing Loss: 0.001615, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 140, Traininig Loss: 0.000032, Testing Loss: 0.001742, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 141, Traininig Loss: 0.000022, Testing Loss: 0.001505, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 142, Traininig Loss: 0.000015, Testing Loss: 0.001409, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 143, Traininig Loss: 0.000012, Testing Loss: 0.001726, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 144, Traininig Loss: 0.000010, Testing Loss: 0.001131, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 145, Traininig Loss: 0.000013, Testing Loss: 0.001143, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 146, Traininig Loss: 0.000235, Testing Loss: 0.001545, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 147, Traininig Loss: 0.000017, Testing Loss: 0.001266, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 148, Traininig Loss: 0.000010, Testing Loss: 0.001063, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 149, Traininig Loss: 0.000007, Testing Loss: 0.001129, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 150, Traininig Loss: 0.000006, Testing Loss: 0.000857, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 151, Traininig Loss: 0.000007, Testing Loss: 0.000992, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 152, Traininig Loss: 0.000005, Testing Loss: 0.000775, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 153, Traininig Loss: 0.000004, Testing Loss: 0.000745, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 154, Traininig Loss: 0.000824, Testing Loss: 0.000965, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 155, Traininig Loss: 0.000119, Testing Loss: 0.000813, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 156, Traininig Loss: 0.000039, Testing Loss: 0.000882, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 157, Traininig Loss: 0.000024, Testing Loss: 0.000638, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 158, Traininig Loss: 0.000017, Testing Loss: 0.000979, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 159, Traininig Loss: 0.000014, Testing Loss: 0.000738, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 160, Traininig Loss: 0.000012, Testing Loss: 0.001044, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 161, Traininig Loss: 0.000009, Testing Loss: 0.000853, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 162, Traininig Loss: 0.000007, Testing Loss: 0.000971, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 163, Traininig Loss: 0.000006, Testing Loss: 0.000917, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 164, Traininig Loss: 0.000006, Testing Loss: 0.000828, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 165, Traininig Loss: 0.000006, Testing Loss: 0.000485, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 166, Traininig Loss: 0.000004, Testing Loss: 0.001074, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 167, Traininig Loss: 0.000004, Testing Loss: 0.000730, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 168, Traininig Loss: 0.000003, Testing Loss: 0.000506, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 169, Traininig Loss: 0.000259, Testing Loss: 0.001750, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 170, Traininig Loss: 0.000028, Testing Loss: 0.000859, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 171, Traininig Loss: 0.000007, Testing Loss: 0.000825, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 172, Traininig Loss: 0.000005, Testing Loss: 0.000863, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 173, Traininig Loss: 0.000004, Testing Loss: 0.000959, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 174, Traininig Loss: 0.000003, Testing Loss: 0.001088, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 175, Traininig Loss: 0.000002, Testing Loss: 0.000785, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 176, Traininig Loss: 0.000002, Testing Loss: 0.000724, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 177, Traininig Loss: 0.000002, Testing Loss: 0.000804, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 178, Traininig Loss: 0.000002, Testing Loss: 0.000778, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 179, Traininig Loss: 0.000002, Testing Loss: 0.000429, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 180, Traininig Loss: 0.000003, Testing Loss: 0.000807, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 181, Traininig Loss: 0.000002, Testing Loss: 0.000512, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 182, Traininig Loss: 0.000208, Testing Loss: 0.001294, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 183, Traininig Loss: 0.000015, Testing Loss: 0.001658, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
EPOCH:: 184, Traininig Loss: 0.000006, Testing Loss: 0.001587, Best Loss: 0.000392, Training Acc: 1.000000, Testing Acc: 1.000000
